"@title","Indonesia"
"@language","id-ID"
"@scale","auto"
"@appli","133 - Do not change"
"@version","2.12 - Do not change"
"@author","izar89"
"#00000","Fearsome monsters may be hiding inside.<br>Don't rush in without a plan."
"#00001","Tak dipakai"
"#00002","Kita kalah..."
"#00003","Aku Kalah..."
"#00004","Dimana Kita?"
"#00005","Aku mengalahkanya."
"#00006","Satu, Dua, Tiga..."
"#00007","Senang bertemu kamu!"
"#00008","Apa kabar!"
"#00009","Hello!"
"#00010","Dikalahkan..."
"#00011","Apa yang harus dilakukan..."
"#00012","Gwah!"
"#00013","Argh!"
"#00014","Oh tidah!"
"#00015","aku tidak bisa melakukanya..."
"#00016","Itu kebanyakan!"
"#00017","Tetap kompak."
"#00018","Semua bagus."
"#00019","Sigh..."
"#00020","Oh my!"
"#00021","Astaga!"
"#00022","Jangan bingung."
"#00023","Pagi!"
"#00024","aku tidur kaku."
"#00025","masih ngantuk..."
"#00026","huaaah..."
"#00027","Mumblemamanbahhagv..."
"#00028","Pagi yang indah!"
"#00029","capek banget..."
"#00030","Waktunya tidur."
"#00031","Met bobok."
"#00032","Sampai jumpa besok."
"#00033","Ini yang akan dikerjakan."
"#00034","itu terlihat mantap."
"#00035","Mungkin yang ini."
"#00036","Hmm... yang ini."
"#00037","aku mau ambil ini."
"#00038","Aku pergi untuk ambil yang ini."
"#00039","Oh yeah!"
"#00040","Yee-haw!"
"#00041","mantap!"
"#00042","Aah, sempurna!"
"#00043","Aku paham!"
"#00044","Wow!"
"#00045","mengagumkan!"
"#00046","bagus."
"#00047","Aku bisa!"
"#00048","Tak dapat menunggu!"
"#00049","Serahkan Padaku!"
"#00050","Ambil itu!"
"#00051","Dilakukan ya."
"#00052","Selesai juga."
"#00053","Kerja bagus."
"#00054","hasilnya cukup bagus."
"#00055","Waktunya panen, semuanya!"
"#00056","kami punya banyak tanaman."
"#00057","Tahun yang sempurna."
"#00058","Ayo kita pergi..."
"#00059","Hrnf..."
"#00060","ini dia..."
"#00061","Oof."
"#00062","Itu berat..."
"#00063","Satu-dua!"
"#00064","Tak ada masalah disini."
"#00065","Sudah habis, huh?"
"#00066","tak ada disini..."
"#00067","Apa yang lega."
"#00068","Thanks. makasih."
